# name	mass (kg)	x (m)	y (m)	z (m)	vx (m/s)	vy (m/s)	vz (m/s)
Sun	1.9885e30	0.0	0.0	0.0	0.0	0.0	0.0
Earth	5.9724e24	1.496e11	0.0	0.0	0.0	2.978e4	0.0
# Moon	7.3460e22	1.496e11	3.844e8	0.0	-1.022e3	2.978e4	0.0
Mercury	3.3011e23	0.0	-5.791e10	0.0	4.736e4	0.0	0.0
Venus	4.8675e24	-1.0821e11	0.0	0.0	0.0	-3.502e4	0.0
Mars	6.4171e23	0.0	2.2792e11	0.0	-2.407e4	0.0	0.0
# Jupiter	1.89819e27	0.0	-7.7857e11	0.0	1.306e4	0.0	0.0
# Saturn	5.6834e26	0.0	1.43353e12	0.0	-9.68e3	0.0	0.0
# Uranus	8.6813e25	2.87246e12	0.0	0.0	0.0	6.8e3	0.0
# Neptune	1.02413e26	-4.49506e12	0.0	0.0	0.0	-5.43e3	0.0
